epoch,max,min,avg
0.0,3.2794201789653425,1.5606328871301969,2.4802611978197655
1.0,3.0533442751370514,1.4712907445511343,2.2804897388935794
2.0,3.2338492293260512,1.4660332084839298,2.172789726192783
3.0,2.8821818998220965,1.68090137710238,2.269407174883863
4.0,2.663826761415153,1.4605185168018728,2.156429104336764
5.0,3.313811852141585,1.73026641282773,2.303249535396283
6.0,3.459610178602587,1.5982353075110838,2.262713716520485
7.0,2.865938585069239,1.5540382908358967,2.209835498261381
8.0,3.0582388992351337,1.7936491828259633,2.384580990757466
9.0,3.0197745912316276,1.5589901986392105,2.4037077080956237
10.0,3.3769226249345605,1.4345058273457674,2.1126056584587003
11.0,3.1881716151550976,1.652206667721617,2.3041914282607467
12.0,2.9788982208167756,1.5079639734270207,2.1132015078132005
13.0,2.992889879621863,1.7011717348503816,2.3143681903884783
14.0,2.900015429751685,1.6863421247129602,2.2953706243167784
15.0,2.985295178820262,1.7035992163408014,2.202892873593628
16.0,2.809009844818735,1.376669910063783,2.057295593577265
17.0,2.7995500611783934,1.5156403373650111,2.10184397164673
18.0,2.9728790480424108,1.3678121393249887,2.20742773675042
19.0,3.1105453358988564,1.4668388919425204,2.3767158428738506
20.0,3.198762332464656,1.4690571727546546,2.2117358071685294
21.0,2.833538795950092,1.387269289579351,2.070474735991456
22.0,3.217999120737054,1.6171828560140522,2.2679007256793087
23.0,3.310986442978276,1.6524353001981478,2.1874736896534572
24.0,3.125097959890399,1.5598824510546936,2.3169820745807472
25.0,2.9690580509378504,1.50180699861638,2.138673131531676
26.0,3.194084696392613,1.4516023431243443,2.273062795338626
27.0,2.8832061416120243,1.3671197492978764,2.0873023749753665
28.0,2.742670695887777,1.5856462784400593,2.0693621850919213
29.0,2.7811862209593765,1.504178822574827,2.2067258447087537
30.0,3.0200283337204983,1.5455296378328296,2.3995092657812713
31.0,3.4331037673001936,1.5490304591051376,2.2699888593044095
32.0,3.064259549136244,1.472853265429247,2.283232151210455
33.0,2.752361757304535,1.4891096397855894,2.1430937575470574
34.0,3.1332541746597036,1.5935326222293444,2.219180273447649
35.0,2.886315344677518,1.4376937901442575,2.165909171477967
36.0,2.8641058136557045,1.520464612951071,2.123481185568092
37.0,3.090089115475013,1.3411036315006362,2.296012633922831
38.0,2.7966405674380006,1.4607989403606971,2.1166660699008375
39.0,2.953431935985742,1.4554123462635082,2.332009163312445
40.0,3.1979876747490255,1.5601784816756825,2.502227251355226
41.0,3.141958077134652,1.814654615237944,2.4283873213917184
42.0,3.222528702494878,1.7133258888562826,2.416177120049295
43.0,2.904323636760948,1.3827902581963911,2.0751882135106694
44.0,2.5906633141862923,1.3952525434609246,2.2374998357257683
45.0,3.3954798664635857,1.5600373506965266,2.133448910809214
46.0,3.0850921631931043,1.4389679089666623,2.1371448566941966
47.0,2.650923290994813,1.6553345075386257,2.2712854851923643
48.0,3.0766952989705563,1.4917321434071031,2.19838957073667
49.0,3.1700443190114975,1.533042947942691,2.296530209154764
50.0,2.943871912284483,1.6368537064223663,2.201708739871363
51.0,3.143362190488984,1.5467530790119222,2.429404159090384
52.0,3.048570679493295,1.6571561385900322,2.3272028103482265
53.0,3.255874606293107,1.5393278406363773,2.4410308963669154
54.0,3.076815563854462,1.7691555003195487,2.39683626252207
55.0,2.7452405143944234,1.3997437327715265,2.132255254929776
56.0,2.765993427801151,1.7349448427782683,2.29923611935523
57.0,3.1325213137645154,1.4179816967922203,2.2275660166866733
58.0,3.1660333970622414,1.533228238622944,2.3965086433745397
59.0,3.271650386412877,1.380012263160619,2.2347480430149638
60.0,3.134576391289903,1.555983573444417,2.2394800482454817
61.0,2.8563403092345636,1.5099611932934154,2.173611755087682
62.0,3.396425550498725,1.5167433555134304,2.3546904640635495
63.0,2.9538600753569213,1.6799920803973314,2.281062779907623
64.0,2.7514676599225827,1.425369161338125,2.174459428798287
65.0,3.0622398110235074,1.49092623947647,2.356157683066103
66.0,3.421593780806613,1.51916256234261,2.3183256821048914
67.0,2.805633555378216,1.3164560099176421,2.06201881727146
68.0,3.1403814572471105,1.6742246285040288,2.2930589934569543
69.0,3.075656423828735,1.5659156087983075,2.341505604476146
70.0,2.9103410700539842,1.471758824519792,2.213239193270516
71.0,2.887947946126899,1.5415489134623805,2.1791382901719922
72.0,2.997728441456267,1.75613614999589,2.3881476081915523
73.0,3.074669617062841,1.4948172838450555,2.0833133270618367
74.0,3.1008032342655727,1.8009024556510265,2.3680041778503855
75.0,2.6811125500000594,1.4584447636493927,2.0485519108668777
76.0,2.8572002541362633,1.4715283676145479,2.125143134463084
77.0,3.0585264001205505,1.3999147338105997,2.405472333010194
78.0,3.181965230045691,1.7472743197249714,2.3951090888743876
79.0,2.939989374362143,1.4696113820108165,2.3015576478727597
80.0,2.8590060970618985,1.6784836824434737,2.296393451877003
81.0,3.1597361432748126,1.442751951510812,2.2797970903922917
82.0,2.870612237737065,1.7110152553500297,2.3220486834168055
83.0,3.325141823404222,1.2801919615867585,2.257066651858243
84.0,2.9957442297349477,1.545628286096741,2.363779069091576
85.0,3.30309298670331,1.440518568497228,2.3259474751982614
86.0,2.959419445118998,1.6725850246468343,2.3457277868825743
87.0,3.2113975325297983,1.5861405115841418,2.3206739031393755
88.0,2.9958449836118892,1.278295786296659,2.337045699877722
89.0,3.2315133376698424,1.4044693163178077,2.181661041478275
90.0,3.123705328736039,1.6556352158112828,2.3271341077886443
91.0,2.8828803160426166,1.4173461556080416,2.1538878967436936
92.0,3.1708197882050095,1.5960138735060632,2.3093713812265166
93.0,3.109446155749897,1.28779007504995,2.4288126523067293
94.0,3.1226324649808754,1.3753978413785541,2.2029037469482153
95.0,2.8361501902960824,1.5049711346313617,2.2678210728401114
96.0,3.0393515010602297,1.503376498367427,2.3059552308278635
97.0,3.261782489085303,1.3252255823533745,2.1953845471618227
98.0,3.1379225001882216,1.4024760999360109,2.273492062908692
99.0,2.8583440537617744,1.6968093100630952,2.226368960877462
100.0,2.7680580945175306,1.4479307635968108,2.129150930201121
101.0,3.1303031174986673,1.6046558559012882,2.264867763172834
102.0,2.92814787018108,1.821698230261717,2.341843870387527
103.0,3.3541663665455435,1.5264351329946775,2.550302643240118
104.0,3.278668214430204,1.3944673496854216,2.4111708810758836
105.0,2.826751881460561,1.4492538735793805,2.2830609389567607
106.0,3.2110827336566237,1.5570535722310537,2.2705754038127854
107.0,3.1116180763748393,1.521280336226417,2.2765032910042264
108.0,3.059014341392457,1.3703870120174058,2.085613060352131
109.0,3.0026471856446872,1.584344524263495,2.2776308036291772
110.0,3.458468070718479,1.5907686060024624,2.417359755615243
111.0,3.2443170011506393,1.7528986766059176,2.4485896922946018
112.0,3.207486342224871,1.5398917505688017,2.242677466016746
113.0,3.188831126199068,1.6426986668249304,2.467350391248004
114.0,3.081041222979692,1.6450377203144384,2.1915475232546986
115.0,3.0206151598488495,1.4130849673486001,2.2407298009043597
116.0,3.031724401102165,1.7448556081717852,2.364283952929437
117.0,3.4604398141385713,1.334925530388967,2.2681265734504445
118.0,3.1064747842243903,1.8890124293050186,2.452377045287089
119.0,3.241818914948726,1.4317482859683015,2.011586274777842
120.0,3.1607768011799635,1.7243756560337855,2.452957698543808
121.0,3.1588525900505307,1.5080234202177674,2.2924436793713228
122.0,2.81975230732169,1.532959587047232,2.301723344276247
123.0,3.2655882034783974,1.3747634684251,2.3329659338710846
124.0,3.3377169077820454,1.5090264686047854,2.4335343932173434
125.0,2.8591013292766974,1.6179994028559503,2.1824311666718605
126.0,3.197069948578466,1.4337264579030788,2.394848300046722
127.0,2.9626995872513495,1.522097188721355,2.4165745650072457
128.0,3.2420276280707907,1.4848135049512021,2.1203795127840497
129.0,2.9196177856915395,1.422050800564233,2.453319667269103
130.0,2.9258259055545763,1.5671661892751287,2.2640590560183744
131.0,3.373238704419631,1.454109432693611,2.3632628593444274
132.0,2.90700266946277,1.5954275838830916,2.3463727161301056
133.0,3.3757789560604623,1.5381021359514089,2.3299047979637697
134.0,3.1041241499956835,1.6717666876102493,2.338136397684576
135.0,2.8641900549754915,1.3933999310476615,2.2532663780870563
136.0,3.3973305488866457,1.4447437713905964,2.321647627026605
137.0,2.870034283157437,1.3977444599050688,2.2350683126916975
138.0,3.1327561827660926,1.4590567656384121,2.2420648311314575
139.0,3.092814602711913,1.585982599227908,2.2768586191884466
140.0,3.273268228674605,1.7281668963191035,2.29105853845765
141.0,3.2829626064489066,1.7256985397170879,2.496071810259027
142.0,2.9840924993092277,1.4851940104075343,2.2878500717755696
